,freq,citizen,sex,unit,age,asyl_app,geo,year,applications
248,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FI,2015,32150.0
249,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FR,2015,70570.0
250,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HR,2015,140.0
251,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,HU,2015,174435.0
252,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IE,2015,3270.0
253,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IS,2015,360.0
254,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,IT,2015,82790.0
255,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LI,2015,
256,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LT,2015,275.0
257,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LU,2015,2360.0
258,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,LV,2015,330.0
259,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ME,2015,
260,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,MT,2015,1695.0
261,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NL,2015,43035.0
262,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,NO,2015,30475.0
263,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PL,2015,10255.0
264,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,PT,2015,870.0
265,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,RO,2015,1225.0
266,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SE,2015,156115.0
267,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SI,2015,260.0
268,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SK,2015,270.0
269,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,UK,2015,39720.0
270,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,AT,2015,
